25
//ID	 X	 Y	 Radius	 R	 G	 B
1.0 0 0 0.5 0 107 11
3.0 0 1 0.5 0 107 11
9.0 0 2 0.5 0 107 11
27.0 0 3 0.5 0 107 11
81.0 0 4 0.5 0 107 11
2.0 1 0 0.5 0 107 11
6.0 1 1 0.5 0 107 11
18.0 1 2 0.5 0 107 11
54.0 1 3 0.5 0 107 11
162.0 1 4 0.5 0 107 11
4.0 2 0 0.5 0 107 11
12.0 2 1 0.5 0 107 11
36.0 2 2 0.5 255 0 0
108.0 2 3 0.5 0 107 11
324.0 2 4 0.5 0 107 11
8.0 3 0 0.5 0 107 11
24.0 3 1 0.5 0 107 11
72.0 3 2 0.5 0 107 11
216.0 3 3 0.5 0 107 11
648.0 3 4 0.5 0 107 11
16.0 4 0 0.5 0 107 11
48.0 4 1 0.5 0 107 11
144.0 4 2 0.5 0 107 11
432.0 4 3 0.5 0 107 11
1296.0 4 4 0.5 0 107 11
