25
//ID	 X	 Y	 Radius	 R	 G	 B
1.0 0 0 0.5 143 247 122
3.0 0 1 0.5 143 247 122
9.0 0 2 0.5 143 247 122
27.0 0 3 0.5 143 247 122
81.0 0 4 0.5 143 247 122
2.0 1 0 0.5 143 247 122
6.0 1 1 0.5 143 247 122
18.0 1 2 0.5 143 247 122
54.0 1 3 0.5 143 247 122
162.0 1 4 0.5 143 247 122
4.0 2 0 0.5 143 247 122
12.0 2 1 0.5 143 247 122
36.0 2 2 0.5 255 0 0
108.0 2 3 0.5 143 247 122
324.0 2 4 0.5 143 247 122
8.0 3 0 0.5 143 247 122
24.0 3 1 0.5 143 247 122
72.0 3 2 0.5 143 247 122
216.0 3 3 0.5 143 247 122
648.0 3 4 0.5 143 247 122
16.0 4 0 0.5 143 247 122
48.0 4 1 0.5 143 247 122
144.0 4 2 0.5 143 247 122
432.0 4 3 0.5 143 247 122
1296.0 4 4 0.5 143 247 122
